Medicine_ID,Medicine_Name,Strength,Use_Case,Alternative,Stock,Dosage_Instruction
1255,Omeprazole-360,650 mg,Antibiotic,Generic substitute,No,Take after food once daily
1256,Clopidogrel-142,1000 mg,Heartburn treatment,Generic substitute,No,Take after food once daily
1257,Paracetamol-119,500 mg,Antibiotic,Alternate brand,No,1 tablet thrice daily
1258,Ranitidine-462,750 mg,Anxiety relief,Over-the-counter option,Yes,Half tablet in morning and night
1259,Furosemide-143,750 mg,Cold and allergy,Over-the-counter option,Yes,1 tablet thrice daily
1260,Omeprazole-431,1000 mg,Diabetes control,Generic substitute,Yes,1 tablet twice daily after meals
1261,Azithromycin-578,750 mg,Stomach acid reduction,Over-the-counter option,No,1 tablet twice daily after meals
1262,Clopidogrel-332,650 mg,Blood pressure control,Over-the-counter option,No,1 tablet twice daily after meals
1263,Metformin-628,650 mg,Anxiety relief,Generic substitute,No,Half tablet in morning and night
1264,Losartan-432,650 mg,Fever control,Same API different brand,Yes,1 tablet twice daily after meals
1265,Amlodipine-340,250 mg,Fever control,Generic substitute,Yes,1 tablet thrice daily
1266,Furosemide-799,750 mg,Diabetes control,Same API different brand,No,Use as directed by physician
1267,Furosemide-375,1000 mg,Fever control,Equivalent composition,No,1 tablet twice daily after meals
1268,Ibuprofen-677,1000 mg,Infection treatment,Alternate brand,Yes,Take after food once daily
1269,Metformin-400,250 mg,Blood pressure control,Alternate brand,No,1 capsule daily before breakfast
1270,Levocetirizine-885,100 mg,Antibiotic,Alternate brand,Yes,Use as directed by physician
1271,Ranitidine-849,750 mg,Diabetes control,Equivalent composition,Yes,Half tablet in morning and night
1272,Amlodipine-505,750 mg,Anxiety relief,Alternative formulation,Yes,Use as directed by physician
1273,Amlodipine-344,750 mg,Cold and allergy,Generic substitute,Yes,1 tablet twice daily after meals
1274,Azithromycin-832,500 mg,Blood pressure control,Alternate brand,No,1 tablet thrice daily
1275,Paracetamol-321,500 mg,Stomach acid reduction,Alternative formulation,No,Use as directed by physician
1276,Clopidogrel-807,100 mg,Anxiety relief,Same API different brand,Yes,1 tablet thrice daily
1277,Atorvastatin-438,650 mg,Antibiotic,Same API different brand,Yes,Half tablet in morning and night
1278,Cetirizine-726,100 mg,Blood pressure control,Generic substitute,Yes,Half tablet in morning and night
1279,Levocetirizine-803,1000 mg,Infection treatment,Equivalent composition,No,Half tablet in morning and night
1280,Furosemide-558,750 mg,Inflammation reduction,Same API different brand,No,Half tablet in morning and night
1281,Amoxicillin-463,1000 mg,Anxiety relief,Alternative formulation,Yes,Half tablet in morning and night
1282,Losartan-151,1000 mg,Pain relief,Equivalent composition,No,Take after food once daily
1283,Hydroxyzine-379,500 mg,Anxiety relief,Same API different brand,Yes,Half tablet in morning and night
1284,Levocetirizine-723,750 mg,Cold and allergy,Same API different brand,No,Use as directed by physician
1285,Hydroxyzine-362,500 mg,Stomach acid reduction,Same API different brand,No,1 capsule daily before breakfast
1286,Ranitidine-381,500 mg,Stomach acid reduction,Generic substitute,No,Use as directed by physician
1287,Ranitidine-504,500 mg,Heartburn treatment,Alternate brand,Yes,Half tablet in morning and night
1288,Azithromycin-513,750 mg,Stomach acid reduction,Alternative formulation,Yes,1 capsule daily before breakfast
1289,Furosemide-967,650 mg,Fever control,Same API different brand,Yes,Use as directed by physician
1290,Amoxicillin-457,650 mg,Anxiety relief,Equivalent composition,No,1 tablet thrice daily
1291,Levocetirizine-365,750 mg,Inflammation reduction,Same API different brand,No,1 capsule daily before breakfast
1292,Losartan-780,100 mg,Anxiety relief,Alternative formulation,Yes,Half tablet in morning and night
1293,Furosemide-718,500 mg,Infection treatment,Over-the-counter option,Yes,1 tablet twice daily after meals
1294,Levocetirizine-131,500 mg,Diabetes control,Equivalent composition,Yes,1 tablet twice daily after meals
1295,Hydroxyzine-467,1000 mg,Antibiotic,Generic substitute,No,Half tablet in morning and night
1296,Amoxicillin-523,750 mg,Infection treatment,Alternate brand,No,Half tablet in morning and night
1297,Metoprolol-278,1000 mg,Antibiotic,Over-the-counter option,Yes,Half tablet in morning and night
1298,Ranitidine-227,1000 mg,Stomach acid reduction,Same API different brand,No,1 capsule daily before breakfast
1299,Amoxicillin-131,500 mg,Pain relief,Generic substitute,Yes,1 tablet twice daily after meals
1300,Cetirizine-615,100 mg,Blood pressure control,Generic substitute,No,Use as directed by physician
1301,Omeprazole-252,500 mg,Fever control,Equivalent composition,No,Take after food once daily
1302,Amlodipine-376,750 mg,Fever control,Alternative formulation,Yes,1 capsule daily before breakfast
1303,Cetirizine-521,650 mg,Infection treatment,Generic substitute,No,Half tablet in morning and night
1304,Amoxicillin-181,750 mg,Anxiety relief,Equivalent composition,No,Half tablet in morning and night
1305,Metformin-947,100 mg,Stomach acid reduction,Same API different brand,No,1 capsule daily before breakfast
1306,Losartan-1723,500 mg,Stomach acid reduction,Generic substitute,Yes,Half tablet in morning and night
1307,Cetirizine-540,650 mg,Fever control,Alternative formulation,Yes,Half tablet in morning and night
1308,Levocetirizine-611,100 mg,Heartburn treatment,Generic substitute,No,Use as directed by physician
1309,Metformin-283,650 mg,Inflammation reduction,Generic substitute,Yes,Take after food once daily
1310,Ranitidine-606,100 mg,Cholesterol management,Same API different brand,Yes,Take after food once daily
1311,Amoxicillin-177,750 mg,Stomach acid reduction,Alternative formulation,No,Half tablet in morning and night
1312,Azithromycin-850,1000 mg,Antibiotic,Same API different brand,Yes,1 tablet twice daily after meals
1313,Ibuprofen-519,650 mg,Pain relief,Generic substitute,No,Half tablet in morning and night
1314,Furosemide-148,1000 mg,Cold and allergy,Alternate brand,Yes,1 tablet twice daily after meals
1315,Hydroxyzine-215,750 mg,Heartburn treatment,Same API different brand,No,1 capsule daily before breakfast
1316,Metoprolol-656,750 mg,Antibiotic,Same API different brand,Yes,Take after food once daily
1317,Amoxicillin-907,250 mg,Fever control,Over-the-counter option,Yes,Take after food once daily
1318,Metformin-256,250 mg,Stomach acid reduction,Generic substitute,No,1 tablet twice daily after meals
1319,Amlodipine-219,750 mg,Anxiety relief,Alternative formulation,No,Half tablet in morning and night
1320,Paracetamol-537,650 mg,Infection treatment,Over-the-counter option,Yes,Take after food once daily
1321,Amoxicillin-215,750 mg,Heartburn treatment,Alternate brand,No,Half tablet in morning and night
1322,Ranitidine-710,750 mg,Infection treatment,Over-the-counter option,Yes,1 tablet twice daily after meals
1323,Ranitidine-407,100 mg,Antibiotic,Alternative formulation,Yes,Take after food once daily
1324,Cetirizine-783,650 mg,Infection treatment,Same API different brand,No,1 tablet twice daily after meals
1325,Pantoprazole-555,750 mg,Antibiotic,Equivalent composition,Yes,1 capsule daily before breakfast
1326,Hydroxyzine-789,500 mg,Inflammation reduction,Alternative formulation,No,Half tablet in morning and night
1327,Hydroxyzine-134,500 mg,Blood pressure control,Generic substitute,Yes,1 capsule daily before breakfast
1328,Atorvastatin-417,650 mg,Stomach acid reduction,Equivalent composition,Yes,Take after food once daily
1329,Amlodipine-727,500 mg,Diabetes control,Same API different brand,No,1 tablet twice daily after meals
1330,Amlodipine-802,100 mg,Inflammation reduction,Alternative formulation,No,1 capsule daily before breakfast
1331,Levocetirizine-506,250 mg,Inflammation reduction,Equivalent composition,Yes,Use as directed by physician
1332,Ciprofloxacin-728,500 mg,Blood pressure control,Over-the-counter option,Yes,1 capsule daily before breakfast
1333,Diclofenac-414,750 mg,Stomach acid reduction,Over-the-counter option,Yes,1 capsule daily before breakfast
1334,Pantoprazole-743,1000 mg,Cold and allergy,Alternative formulation,No,Take after food once daily
1335,Pantoprazole-509,650 mg,Stomach acid reduction,Generic substitute,Yes,Use as directed by physician
1336,Omeprazole-977,250 mg,Infection treatment,Over-the-counter option,Yes,Half tablet in morning and night
1337,Amoxicillin-473,100 mg,Pain relief,Same API different brand,Yes,1 tablet twice daily after meals
1338,Atorvastatin-255,500 mg,Stomach acid reduction,Same API different brand,Yes,Use as directed by physician
1339,Ranitidine-854,250 mg,Infection treatment,Alternate brand,No,1 capsule daily before breakfast
1340,Diclofenac-728,750 mg,Cholesterol management,Over-the-counter option,No,1 tablet thrice daily
1341,Amlodipine-179,250 mg,Pain relief,Over-the-counter option,No,Use as directed by physician
1342,Azithromycin-288,100 mg,Stomach acid reduction,Over-the-counter option,No,Take after food once daily
1343,Diclofenac-504,1000 mg,Anxiety relief,Over-the-counter option,No,1 tablet thrice daily
1344,Omeprazole-707,500 mg,Inflammation reduction,Alternate brand,Yes,1 capsule daily before breakfast
1345,Ibuprofen-795,100 mg,Cold and allergy,Generic substitute,Yes,Use as directed by physician
1346,Ciprofloxacin-415,250 mg,Blood pressure control,Generic substitute,Yes,1 tablet twice daily after meals
1347,Ranitidine-568,750 mg,Infection treatment,Generic substitute,Yes,1 tablet twice daily after meals
1348,Metformin-864,250 mg,Cholesterol management,Generic substitute,Yes,1 capsule daily before breakfast
1349,Pantoprazole-669,1000 mg,Anxiety relief,Generic substitute,No,Half tablet in morning and night
1350,Losartan-987,1000 mg,Inflammation reduction,Same API different brand,No,1 tablet thrice daily
1351,Amoxicillin-866,1000 mg,Inflammation reduction,Over-the-counter option,Yes,Use as directed by physician
1352,Clopidogrel-482,750 mg,Diabetes control,Over-the-counter option,Yes,Use as directed by physician
1353,Diclofenac-642,750 mg,Infection treatment,Generic substitute,No,1 capsule daily before breakfast
1354,Paracetamol-738,750 mg,Anxiety relief,Over-the-counter option,No,Use as directed by physician
1355,Cetirizine-279,750 mg,Inflammation reduction,Alternate brand,Yes,1 capsule daily before breakfast
1356,Metoprolol-957,650 mg,Infection treatment,Over-the-counter option,No,1 tablet twice daily after meals
1357,Amlodipine-872,100 mg,Stomach acid reduction,Alternative formulation,Yes,1 tablet twice daily after meals
1358,Metformin-646,500 mg,Fever control,Over-the-counter option,No,Use as directed by physician
1359,Levocetirizine-775,1000 mg,Cholesterol management,Over-the-counter option,No,Use as directed by physician
1360,Amlodipine-960,100 mg,Heartburn treatment,Same API different brand,No,Take after food once daily
1361,Azithromycin-771,650 mg,Antibiotic,Equivalent composition,No,1 tablet thrice daily
1362,Clopidogrel-950,1000 mg,Heartburn treatment,Equivalent composition,No,Take after food once daily
1363,Cetirizine-253,650 mg,Fever control,Equivalent composition,Yes,Use as directed by physician
1364,Amoxicillin-646,750 mg,Anxiety relief,Alternative formulation,No,1 capsule daily before breakfast
1365,Furosemide-455,500 mg,Anxiety relief,Same API different brand,Yes,Use as directed by physician
1366,Furosemide-602,100 mg,Cold and allergy,Generic substitute,No,1 tablet twice daily after meals
1367,Hydroxyzine-484,100 mg,Stomach acid reduction,Generic substitute,No,1 tablet twice daily after meals
1368,Ciprofloxacin-530,750 mg,Anxiety relief,Alternative formulation,No,Take after food once daily
1369,Cetirizine-660,100 mg,Inflammation reduction,Generic substitute,No,1 capsule daily before breakfast
1370,Ibuprofen-768,500 mg,Cholesterol management,Generic substitute,Yes,Take after food once daily
1371,Pantoprazole-416,250 mg,Diabetes control,Equivalent composition,Yes,1 tablet twice daily after meals
1372,Furosemide-258,650 mg,Heartburn treatment,Over-the-counter option,No,Use as directed by physician
1373,Clopidogrel-513,250 mg,Infection treatment,Alternate brand,Yes,Half tablet in morning and night
1374,Azithromycin-906,1000 mg,Fever control,Equivalent composition,No,Half tablet in morning and night
1375,Ciprofloxacin-785,650 mg,Pain relief,Same API different brand,No,1 tablet thrice daily
1376,Losartan-421,500 mg,Cholesterol management,Alternative formulation,No,Half tablet in morning and night
1377,Ciprofloxacin-638,250 mg,Cold and allergy,Equivalent composition,No,Use as directed by physician
1378,Omeprazole-564,750 mg,Stomach acid reduction,Same API different brand,No,1 tablet twice daily after meals
1379,Amoxicillin-343,750 mg,Pain relief,Alternate brand,Yes,Half tablet in morning and night
1380,Furosemide-926,650 mg,Blood pressure control,Alternate brand,No,1 tablet thrice daily
1381,Hydroxyzine-744,250 mg,Stomach acid reduction,Alternative formulation,Yes,1 tablet twice daily after meals
1382,Amoxicillin-7932,100 mg,Blood pressure control,Alternative formulation,No,Half tablet in morning and night
1383,Cetirizine-673,750 mg,Diabetes control,Equivalent composition,Yes,1 tablet thrice daily
1384,Metformin-808,500 mg,Cold and allergy,Alternate brand,No,1 capsule daily before breakfast
1385,Hydroxyzine-956,1000 mg,Cold and allergy,Same API different brand,Yes,Take after food once daily
1386,Omeprazole-880,650 mg,Blood pressure control,Alternate brand,No,Half tablet in morning and night
1387,Losartan-655,250 mg,Cholesterol management,Generic substitute,No,Take after food once daily
1388,Ranitidine-248,750 mg,Stomach acid reduction,Over-the-counter option,No,1 capsule daily before breakfast
1389,Ranitidine-269,750 mg,Anxiety relief,Alternate brand,Yes,1 tablet thrice daily
1390,Hydroxyzine-300,500 mg,Blood pressure control,Alternative formulation,No,Use as directed by physician
1391,Clopidogrel-828,250 mg,Inflammation reduction,Over-the-counter option,No,1 tablet twice daily after meals
1392,Hydroxyzine-355,100 mg,Infection treatment,Alternative formulation,Yes,1 tablet thrice daily
1393,Clopidogrel-123,250 mg,Anxiety relief,Equivalent composition,No,1 capsule daily before breakfast
1394,Hydroxyzine-932,250 mg,Blood pressure control,Alternative formulation,Yes,1 tablet thrice daily
1395,Amoxicillin-888,500 mg,Blood pressure control,Over-the-counter option,No,Take after food once daily
1396,Atorvastatin-783,100 mg,Cholesterol management,Same API different brand,No,1 capsule daily before breakfast
1397,Ranitidine-839,500 mg,Pain relief,Alternative formulation,No,Use as directed by physician
1398,Cetirizine-336,750 mg,Cholesterol management,Generic substitute,No,1 capsule daily before breakfast
1399,Levocetirizine-700,500 mg,Stomach acid reduction,Same API different brand,No,1 tablet thrice daily
1400,Amoxicillin-478,100 mg,Inflammation reduction,Alternate brand,Yes,Take after food once daily
1401,Cetirizine-797,100 mg,Antibiotic,Equivalent composition,No,Take after food once daily
1402,Amoxicillin-644,100 mg,Pain relief,Equivalent composition,No,1 capsule daily before breakfast
1403,Paracetamol-790,1000 mg,Antibiotic,Same API different brand,Yes,Half tablet in morning and night
1404,Hydroxyzine-871,500 mg,Anxiety relief,Generic substitute,No,1 capsule daily before breakfast
1405,Hydroxyzine-119,1000 mg,Fever control,Same API different brand,Yes,Take after food once daily
1406,Omeprazole-386,1000 mg,Cholesterol management,Equivalent composition,Yes,Take after food once daily
1407,Ranitidine-656,750 mg,Cold and allergy,Alternative formulation,Yes,Half tablet in morning and night
1408,Losartan-464,100 mg,Infection treatment,Equivalent composition,No,1 tablet thrice daily
1409,Losartan-867,500 mg,Diabetes control,Generic substitute,No,Half tablet in morning and night
1410,Pantoprazole-822,650 mg,Fever control,Alternative formulation,Yes,1 tablet twice daily after meals
1411,Pantoprazole-445,750 mg,Heartburn treatment,Alternate brand,No,1 tablet thrice daily
1412,Metformin-277,1000 mg,Antibiotic,Over-the-counter option,No,Use as directed by physician
1413,Losartan-519,750 mg,Cold and allergy,Alternative formulation,No,1 tablet twice daily after meals
1414,Cetirizine-690,250 mg,Cholesterol management,Over-the-counter option,Yes,Use as directed by physician
1415,Amoxicillin-941,250 mg,Heartburn treatment,Same API different brand,No,Take after food once daily
1416,Amoxicillin-551,500 mg,Cold and allergy,Alternative formulation,Yes,Half tablet in morning and night
1417,Levocetirizine-844,650 mg,Inflammation reduction,Alternative formulation,Yes,Take after food once daily
1418,Amlodipine-438,500 mg,Fever control,Equivalent composition,Yes,Half tablet in morning and night
1419,Levocetirizine-307,250 mg,Fever control,Alternate brand,Yes,1 capsule daily before breakfast
1420,Ciprofloxacin-432,250 mg,Fever control,Alternate brand,No,Use as directed by physician
1421,Furosemide-709,650 mg,Heartburn treatment,Alternative formulation,No,Half tablet in morning and night
1422,Losartan-675,500 mg,Anxiety relief,Same API different brand,Yes,1 capsule daily before breakfast
1423,Ciprofloxacin-334,750 mg,Infection treatment,Same API different brand,No,1 capsule daily before breakfast
1424,Ciprofloxacin-462,750 mg,Cold and allergy,Over-the-counter option,Yes,1 capsule daily before breakfast
1425,Losartan-168,650 mg,Cold and allergy,Alternative formulation,Yes,1 tablet thrice daily
1426,Clopidogrel-157,250 mg,Inflammation reduction,Equivalent composition,Yes,Half tablet in morning and night
1427,Clopidogrel-498,650 mg,Anxiety relief,Same API different brand,No,Take after food once daily
1428,Furosemide-614,750 mg,Fever control,Alternate brand,Yes,1 tablet thrice daily
1429,Paracetamol-365,650 mg,Blood pressure control,Over-the-counter option,Yes,Half tablet in morning and night
1430,Paracetamol-991,250 mg,Antibiotic,Alternate brand,No,1 capsule daily before breakfast
1431,Furosemide-516,250 mg,Inflammation reduction,Over-the-counter option,Yes,Use as directed by physician
1432,Clopidogrel-294,750 mg,Infection treatment,Alternative formulation,No,1 tablet thrice daily
1433,Atorvastatin-352,650 mg,Pain relief,Alternative formulation,No,1 tablet twice daily after meals
1434,Paracetamol-768,650 mg,Inflammation reduction,Equivalent composition,No,Half tablet in morning and night
1435,Clopidogrel-442,750 mg,Stomach acid reduction,Alternate brand,Yes,1 tablet thrice daily
1436,Metoprolol-115,650 mg,Stomach acid reduction,Equivalent composition,No,1 tablet thrice daily
1437,Ranitidine-508,100 mg,Anxiety relief,Generic substitute,No,1 tablet thrice daily
1438,Metformin-333,500 mg,Stomach acid reduction,Equivalent composition,Yes,1 tablet twice daily after meals
1439,Atorvastatin-612,750 mg,Cold and allergy,Same API different brand,Yes,1 tablet thrice daily
1440,Amoxicillin-958,100 mg,Stomach acid reduction,Generic substitute,Yes,1 capsule daily before breakfast
1441,Metformin-4314,250 mg,Cold and allergy,Over-the-counter option,Yes,1 tablet thrice daily
1442,Omeprazole-286,1000 mg,Fever control,Over-the-counter option,Yes,1 tablet thrice daily
1443,Furosemide-409,500 mg,Fever control,Equivalent composition,No,1 capsule daily before breakfast
1444,Amoxicillin-9648,500 mg,Blood pressure control,Equivalent composition,Yes,1 tablet twice daily after meals
1445,Losartan-202,100 mg,Diabetes control,Over-the-counter option,No,Use as directed by physician
1446,Ranitidine-218,1000 mg,Heartburn treatment,Over-the-counter option,No,1 tablet thrice daily
1447,Ranitidine-753,250 mg,Inflammation reduction,Equivalent composition,No,Take after food once daily
1448,Paracetamol-734,100 mg,Blood pressure control,Generic substitute,Yes,Use as directed by physician
1449,Pantoprazole-990,1000 mg,Infection treatment,Same API different brand,Yes,1 capsule daily before breakfast
1450,Diclofenac-468,250 mg,Inflammation reduction,Same API different brand,No,1 tablet thrice daily
1451,Losartan-1554,500 mg,Infection treatment,Generic substitute,Yes,1 capsule daily before breakfast
1452,Clopidogrel-301,650 mg,Inflammation reduction,Generic substitute,Yes,1 tablet twice daily after meals
1453,Metformin-129,750 mg,Cholesterol management,Same API different brand,Yes,Use as directed by physician
1454,Ibuprofen-346,1000 mg,Anxiety relief,Alternate brand,No,Use as directed by physician
1455,Levocetirizine-117,500 mg,Stomach acid reduction,Alternate brand,No,Use as directed by physician
1456,Hydroxyzine-891,750 mg,Anxiety relief,Equivalent composition,Yes,Take after food once daily
1457,Ciprofloxacin-654,250 mg,Diabetes control,Generic substitute,No,1 capsule daily before breakfast
1458,Metoprolol-972,650 mg,Anxiety relief,Same API different brand,No,1 capsule daily before breakfast
1459,Clopidogrel-506,100 mg,Cold and allergy,Alternative formulation,No,Use as directed by physician
1460,Metoprolol-108,100 mg,Cholesterol management,Alternative formulation,Yes,Use as directed by physician
1461,Cetirizine-384,650 mg,Infection treatment,Over-the-counter option,No,Take after food once daily
1462,Metformin-716,100 mg,Diabetes control,Same API different brand,No,Take after food once daily
1463,Azithromycin-4336,100 mg,Antibiotic,Alternative formulation,Yes,Half tablet in morning and night
1464,Amoxicillin-875,100 mg,Heartburn treatment,Alternate brand,Yes,Half tablet in morning and night
1465,Clopidogrel-822,100 mg,Blood pressure control,Over-the-counter option,Yes,1 tablet thrice daily
1466,Paracetamol-444,650 mg,Heartburn treatment,Generic substitute,No,Use as directed by physician
1467,Furosemide-8421,500 mg,Fever control,Over-the-counter option,No,Use as directed by physician
1468,Atorvastatin-931,100 mg,Stomach acid reduction,Alternate brand,Yes,1 capsule daily before breakfast
1469,Losartan-743,250 mg,Stomach acid reduction,Equivalent composition,No,Use as directed by physician
1470,Metformin-260,650 mg,Fever control,Over-the-counter option,Yes,1 tablet thrice daily
1471,Amoxicillin-742,100 mg,Antibiotic,Generic substitute,Yes,1 capsule daily before breakfast
1472,Amoxicillin-263,250 mg,Inflammation reduction,Generic substitute,No,1 tablet twice daily after meals
1473,Metformin-362,100 mg,Cholesterol management,Generic substitute,Yes,Use as directed by physician
1474,Diclofenac-714,750 mg,Antibiotic,Alternate brand,No,Take after food once daily
1475,Paracetamol-464,100 mg,Pain relief,Generic substitute,No,1 capsule daily before breakfast
1476,Diclofenac-637,500 mg,Fever control,Alternate brand,Yes,Use as directed by physician
1477,Pantoprazole-812,750 mg,Cold and allergy,Alternate brand,Yes,1 tablet twice daily after meals
1478,Metoprolol-476,650 mg,Infection treatment,Alternative formulation,Yes,1 tablet thrice daily
1479,Clopidogrel-809,500 mg,Blood pressure control,Over-the-counter option,No,1 tablet twice daily after meals
1480,Azithromycin-150,650 mg,Anxiety relief,Alternative formulation,No,1 tablet twice daily after meals
1481,Atorvastatin-793,250 mg,Heartburn treatment,Generic substitute,Yes,1 capsule daily before breakfast
1482,Amoxicillin-453,750 mg,Infection treatment,Alternate brand,Yes,1 capsule daily before breakfast
1483,Omeprazole-673,500 mg,Anxiety relief,Alternative formulation,Yes,1 tablet thrice daily
1484,Diclofenac-496,500 mg,Cold and allergy,Equivalent composition,No,1 tablet thrice daily
1485,Ibuprofen-1292,750 mg,Blood pressure control,Alternative formulation,Yes,Take after food once daily
1486,Ranitidine-980,750 mg,Stomach acid reduction,Equivalent composition,Yes,1 capsule daily before breakfast
1487,Azithromycin-971,500 mg,Pain relief,Same API different brand,Yes,Use as directed by physician
1488,Ciprofloxacin-923,100 mg,Inflammation reduction,Generic substitute,Yes,1 tablet thrice daily
1489,Losartan-607,650 mg,Pain relief,Same API different brand,No,Half tablet in morning and night
1490,Furosemide-842,750 mg,Inflammation reduction,Same API different brand,No,1 tablet thrice daily
1491,Levocetirizine-482,750 mg,Anxiety relief,Same API different brand,No,Use as directed by physician
1492,Ciprofloxacin-402,100 mg,Inflammation reduction,Over-the-counter option,Yes,Use as directed by physician
1493,Furosemide-498,250 mg,Antibiotic,Equivalent composition,Yes,Use as directed by physician
1494,Clopidogrel-164,750 mg,Heartburn treatment,Alternative formulation,No,1 tablet twice daily after meals
1495,Levocetirizine-609,250 mg,Fever control,Over-the-counter option,No,Half tablet in morning and night
1496,Metoprolol-129,100 mg,Infection treatment,Generic substitute,Yes,Half tablet in morning and night
1497,Hydroxyzine-485,1000 mg,Fever control,Generic substitute,Yes,1 tablet thrice daily
1498,Metformin-596,750 mg,Infection treatment,Alternative formulation,Yes,1 tablet thrice daily
1499,Amlodipine-733,100 mg,Diabetes control,Generic substitute,No,Use as directed by physician
1500,Diclofenac-571,250 mg,Antibiotic,Alternative formulation,Yes,Use as directed by physician
1501,Furosemide-618,650 mg,Infection treatment,Over-the-counter option,No,Take after food once daily
1502,Amlodipine-738,750 mg,Pain relief,Over-the-counter option,No,1 capsule daily before breakfast
1503,Azithromycin-984,500 mg,Inflammation reduction,Alternate brand,Yes,Use as directed by physician
1504,Amoxicillin-379,100 mg,Fever control,Over-the-counter option,No,1 capsule daily before breakfast
1505,Losartan-266,1000 mg,Cold and allergy,Same API different brand,Yes,1 tablet thrice daily
1506,Atorvastatin-416,250 mg,Diabetes control,Equivalent composition,Yes,1 tablet twice daily after meals
1507,Amlodipine-831,750 mg,Cholesterol management,Alternative formulation,No,Take after food once daily
1508,Amlodipine-283,100 mg,Anxiety relief,Over-the-counter option,Yes,1 tablet twice daily after meals
1509,Azithromycin-305,500 mg,Infection treatment,Generic substitute,Yes,Take after food once daily
1510,Levocetirizine-563,100 mg,Inflammation reduction,Generic substitute,No,Use as directed by physician
1511,Ibuprofen-462,250 mg,Blood pressure control,Alternate brand,Yes,Use as directed by physician
1512,Amlodipine-672,250 mg,Fever control,Generic substitute,Yes,Take after food once daily
1513,Furosemide-182,1000 mg,Diabetes control,Alternate brand,Yes,1 tablet twice daily after meals
1514,Paracetamol-433,100 mg,Fever control,Same API different brand,Yes,1 capsule daily before breakfast
1515,Omeprazole-211,100 mg,Infection treatment,Over-the-counter option,Yes,Half tablet in morning and night
1516,Ranitidine-518,750 mg,Antibiotic,Alternative formulation,Yes,Use as directed by physician
1517,Furosemide-537,1000 mg,Fever control,Alternate brand,No,1 tablet thrice daily
1518,Amoxicillin-1024,250 mg,Heartburn treatment,Over-the-counter option,No,1 tablet thrice daily
1519,Amlodipine-235,250 mg,Diabetes control,Alternative formulation,No,1 tablet thrice daily
1520,Azithromycin-354,1000 mg,Stomach acid reduction,Same API different brand,Yes,Take after food once daily
1521,Ciprofloxacin-259,250 mg,Stomach acid reduction,Over-the-counter option,No,Take after food once daily
1522,Omeprazole-956,250 mg,Heartburn treatment,Alternative formulation,Yes,Half tablet in morning and night
1523,Amoxicillin-990,500 mg,Cholesterol management,Same API different brand,Yes,Half tablet in morning and night
1524,Ibuprofen-367,100 mg,Heartburn treatment,Over-the-counter option,No,1 tablet twice daily after meals
1525,Omeprazole-119,1000 mg,Infection treatment,Alternate brand,Yes,1 tablet thrice daily
1526,Pantoprazole-998,650 mg,Cold and allergy,Same API different brand,Yes,1 tablet thrice daily
1527,Ciprofloxacin-248,750 mg,Anxiety relief,Generic substitute,No,1 tablet thrice daily
1528,Clopidogrel-727,250 mg,Heartburn treatment,Alternative formulation,No,Use as directed by physician
1529,Atorvastatin-3075,250 mg,Pain relief,Generic substitute,No,Use as directed by physician
1530,Ranitidine-200,1000 mg,Fever control,Alternative formulation,No,Use as directed by physician
1531,Omeprazole-369,250 mg,Cold and allergy,Same API different brand,Yes,Use as directed by physician
1532,Azithromycin-901,500 mg,Fever control,Same API different brand,No,1 tablet twice daily after meals
1533,Amoxicillin-346,100 mg,Stomach acid reduction,Same API different brand,Yes,Take after food once daily
1534,Ciprofloxacin-888,1000 mg,Heartburn treatment,Generic substitute,No,1 tablet thrice daily
1535,Atorvastatin-730,100 mg,Blood pressure control,Over-the-counter option,Yes,1 tablet twice daily after meals
1536,Amlodipine-250,500 mg,Inflammation reduction,Alternate brand,Yes,1 capsule daily before breakfast
1537,Furosemide-710,250 mg,Cholesterol management,Alternative formulation,Yes,Take after food once daily
1538,Levocetirizine-431,500 mg,Antibiotic,Alternative formulation,No,Take after food once daily
1539,Clopidogrel-467,750 mg,Antibiotic,Generic substitute,No,Half tablet in morning and night
1540,Clopidogrel-486,250 mg,Blood pressure control,Alternative formulation,No,Use as directed by physician
1541,Ciprofloxacin-149,650 mg,Antibiotic,Equivalent composition,Yes,1 tablet twice daily after meals
1542,Atorvastatin-721,100 mg,Cholesterol management,Over-the-counter option,Yes,1 tablet twice daily after meals
1543,Clopidogrel-695,250 mg,Pain relief,Alternate brand,No,1 tablet twice daily after meals
1544,Furosemide-654,1000 mg,Pain relief,Same API different brand,No,1 capsule daily before breakfast
1545,Azithromycin-745,250 mg,Diabetes control,Generic substitute,No,Take after food once daily
1546,Clopidogrel-113,100 mg,Heartburn treatment,Alternate brand,No,Take after food once daily
1547,Ibuprofen-933,500 mg,Antibiotic,Same API different brand,No,Half tablet in morning and night
1548,Furosemide-216,100 mg,Diabetes control,Equivalent composition,Yes,1 tablet twice daily after meals
1549,Furosemide-162,500 mg,Fever control,Equivalent composition,Yes,Use as directed by physician
1550,Furosemide-151,250 mg,Blood pressure control,Over-the-counter option,No,1 tablet twice daily after meals
1551,Ibuprofen-787,250 mg,Infection treatment,Alternative formulation,No,1 capsule daily before breakfast
1552,Metformin-132,650 mg,Inflammation reduction,Generic substitute,Yes,1 capsule daily before breakfast
1553,Metoprolol-320,750 mg,Blood pressure control,Same API different brand,No,Half tablet in morning and night
