Medicine_ID,Medicine_Name,Strength,Use_Case,Alternative,Stock,Dosage_Instruction
341,Ranitidine,400mg,Asthma,Dolo,Yes,1 tablet every 6 hrs
342,Ciprofloxacin,400mg,Stomach Ulcer,Diclofenac,No,1 tablet daily for 3 days
343,Omeprazole,200ml,"Pain, Inflammation",Crocin,No,As prescribed by doctor
344,Ranitidine,10ml,Acidity,Famotidine,Yes,As prescribed by doctor
345,Atorvastatin,500mg,Acidity,Levocetirizine,No,1 tablet daily for 3 days
346,Aspirin,200mg,Acidity,Glimepiride,No,1 tablet at night
347,Metformin,200mg,Heart Disease,Zincovit,Yes,1 tablet after meals
348,Atorvastatin,600mg,Dehydration,Famotidine,Yes,1 tablet at night
349,Ibuprofen,20ml,Heart Disease,Levocetirizine,Yes,As prescribed by doctor
350,Levothyroxine,600mg,Throat Infection,Propranolol,Yes,1 tablet at night
351,Atorvastatin,600mg,Stomach Ulcer,Augmentin,No,1 tablet before meals
352,Atorvastatin,150mg,"Fever, Headache",Diclofenac,Yes,1 capsule every 8 hrs
353,Amoxicillin,10mg,Diabetes,Crocin,Yes,1 capsule every 8 hrs
354,Pantoprazole,600mg,Cholesterol Control,Diclofenac,No,1 tablet after meals
355,Clopidogrel,50mg,Hypertension,Levocetirizine,No,1 tablet before meals
356,Azithromycin,400mg,Heart Disease,Erythromycin,No,1 tablet daily
357,ORS Solution,400mg,Stomach Ulcer,Erythromycin,No,1 tablet at night
358,Vitamin C,600mg,Throat Infection,Clarithromycin,No,1 capsule every 8 hrs
359,Amoxicillin,200mg,Stomach Ulcer,Levocetirizine,No,1 tablet every 6 hrs
360,Atorvastatin,600mg,Diabetes,Propranolol,Yes,1 tablet after meals
361,Azithromycin,10ml,"Fever, Headache",Loratadine,Yes,1 tablet before meals
362,Aspirin,20ml,Stomach Ulcer,Zincovit,No,As prescribed by doctor
363,Cetirizine,200mg,Diabetes,Human Mixtard,Yes,1 tablet daily for 3 days
364,Cetirizine,200ml,Heart Disease,Diclofenac,Yes,1 capsule every 8 hrs
365,Clopidogrel,200ml,Diabetes,Loratadine,No,1 tablet after meals
366,Losartan,50mg,"Allergy, Cold",Famotidine,Yes,1 tablet daily
367,Paracetamol,10ml,Bacterial Infection,Human Mixtard,Yes,1 tablet before meals
368,Insulin,250mg,"Pain, Inflammation",Electral Powder,No,1 tablet daily
369,Levothyroxine,10mg,"Allergy, Cold",Levocetirizine,Yes,1 tablet at night
370,Atorvastatin,150mg,Bacterial Infection,Amlodipine,Yes,As prescribed by doctor
371,Cetirizine,200mg,Stomach Ulcer,Propranolol,No,1 tablet every 6 hrs
372,Amoxicillin,200mg,Hypertension,Human Mixtard,Yes,1 tablet daily for 3 days
373,Vitamin C,250mg,Bacterial Infection,Erythromycin,No,1 tablet daily
374,Ciprofloxacin,200mg,"Allergy, Cold",Erythromycin,Yes,1 tablet every 6 hrs
375,Salbutamol,600mg,Thyroid Disorder,Electral Powder,No,1 tablet after meals
376,Metformin,500mg,Thyroid Disorder,Zincovit,No,1 tablet before meals
377,Atorvastatin,250mg,Bacterial Infection,Diclofenac,Yes,1 tablet after meals
378,Clopidogrel,600mg,"Pain, Inflammation",Crocin,Yes,As prescribed by doctor
379,Clopidogrel,150mg,Stomach Ulcer,Clarithromycin,Yes,As prescribed by doctor
380,Amoxicillin,100mg,Asthma,Loratadine,No,1 tablet daily
381,Levothyroxine,200mg,Immunity Boost,Loratadine,Yes,1 tablet every 6 hrs
382,Atorvastatin,20ml,Immunity Boost,Erythromycin,No,1 tablet every 6 hrs
383,Azithromycin,200ml,Bacterial Infection,Famotidine,No,1 tablet at night
384,Amoxicillin,150mg,Diabetes,Glimepiride,No,As prescribed by doctor
385,Azithromycin,200ml,"Pain, Inflammation",Crocin,No,1 tablet daily
386,Ibuprofen,50mg,Bacterial Infection,Famotidine,Yes,1 tablet at night
387,Clopidogrel,100mg,"Fever, Headache",Zincovit,No,"As directed, sip slowly"
388,Cetirizine,50mg,Diabetes,Amlodipine,No,1 tablet before meals
389,Levothyroxine,10ml,Throat Infection,Levocetirizine,Yes,1 tablet before meals
390,Ibuprofen,250mg,Immunity Boost,Zincovit,Yes,"As directed, sip slowly"
391,Salbutamol,600mg,Hypertension,Glimepiride,Yes,1 tablet daily for 3 days
392,Clopidogrel,500mg,Thyroid Disorder,Crocin,Yes,As prescribed by doctor
393,Salbutamol,600mg,Bacterial Infection,Electral Powder,Yes,1 tablet daily
394,Insulin,10mg,"Allergy, Cold",Famotidine,Yes,1 tablet after meals
395,Clopidogrel,20ml,Bacterial Infection,Clarithromycin,No,As prescribed by doctor
396,Losartan,600mg,"Pain, Inflammation",Loratadine,Yes,1 tablet daily
397,Ciprofloxacin,10ml,"Fever, Headache",Augmentin,No,1 tablet before meals
398,Clopidogrel,600mg,Throat Infection,Loratadine,No,1 tablet at night
399,Levothyroxine,150mg,Acidity,Loratadine,No,As prescribed by doctor
400,Paracetamol,10mg,Asthma,Levocetirizine,No,1 tablet at night
401,Losartan,150mg,Acidity,Levocetirizine,No,1 tablet every 6 hrs
402,Paracetamol,600mg,"Pain, Inflammation",Glimepiride,Yes,1 tablet after meals
403,Paracetamol,100mg,Diabetes,Human Mixtard,No,As prescribed by doctor
404,Clopidogrel,50mg,Heart Disease,Crocin,Yes,1 tablet at night
405,Clopidogrel,200ml,Throat Infection,Glimepiride,No,1 tablet every 6 hrs
406,Metformin,100mg,Immunity Boost,Dolo,Yes,1 tablet at night
407,Losartan,200mg,Throat Infection,Electral Powder,Yes,1 tablet daily for 3 days
408,Cetirizine,250mg,Immunity Boost,Crocin,Yes,1 tablet after meals
409,Ibuprofen,10ml,Dehydration,Dolo,Yes,1 tablet at night
410,Insulin,600mg,Throat Infection,Electral Powder,No,1 tablet before meals
411,Metformin,10ml,Throat Infection,Famotidine,No,1 tablet at night
412,Omeprazole,200ml,Asthma,Electral Powder,Yes,As prescribed by doctor
413,Ranitidine,200mg,"Pain, Inflammation",Electral Powder,Yes,1 tablet every 6 hrs
414,Clopidogrel,200mg,Asthma,Levocetirizine,No,1 tablet daily
415,Amoxicillin,600mg,Throat Infection,Glimepiride,Yes,1 tablet every 6 hrs
416,Atorvastatin,250mg,"Allergy, Cold",Dolo,Yes,1 capsule every 8 hrs
417,Amoxicillin,250mg,Immunity Boost,Levocetirizine,No,1 tablet every 6 hrs
418,Clopidogrel,10ml,Diabetes,Diclofenac,Yes,"As directed, sip slowly"
419,Salbutamol,10mg,Heart Disease,Famotidine,No,1 capsule every 8 hrs
420,Metformin,500mg,Hypertension,Amlodipine,Yes,1 tablet daily for 3 days
421,Vitamin C,10ml,Dehydration,Augmentin,Yes,As prescribed by doctor
422,Insulin,20ml,Acidity,Erythromycin,No,As prescribed by doctor
423,Salbutamol,10ml,Asthma,Electral Powder,Yes,1 tablet every 6 hrs
424,Paracetamol,200mg,"Fever, Headache",Zincovit,No,"As directed, sip slowly"
425,Insulin,500mg,"Allergy, Cold",Crocin,Yes,1 tablet daily
426,Vitamin C,10mg,"Fever, Headache",Diclofenac,Yes,As prescribed by doctor
427,Paracetamol,200mg,Hypertension,Augmentin,Yes,1 tablet at night
428,Ciprofloxacin,10ml,"Pain, Inflammation",Dolo,Yes,1 tablet daily
429,Salbutamol,150mg,"Allergy, Cold",Diclofenac,No,1 tablet after meals
430,Ranitidine,500mg,Bacterial Infection,Glimepiride,No,1 tablet before meals
431,Atorvastatin,10ml,"Allergy, Cold",Levocetirizine,No,As prescribed by doctor
432,Losartan,10mg,Thyroid Disorder,Loratadine,No,1 tablet at night
433,Salbutamol,600mg,Dehydration,Loratadine,Yes,1 tablet every 6 hrs
434,Salbutamol,20ml,"Allergy, Cold",Glimepiride,No,1 tablet every 6 hrs
435,Ranitidine,250mg,Cholesterol Control,Dolo,No,1 tablet daily
436,Pantoprazole,400mg,"Fever, Headache",Dolo,No,1 tablet daily
437,Azithromycin,200mg,Throat Infection,Augmentin,Yes,1 tablet before meals
438,Omeprazole,50mg,Asthma,Augmentin,No,1 tablet daily for 3 days
439,Atorvastatin,200ml,"Allergy, Cold",Crocin,Yes,1 tablet at night
440,Omeprazole,200ml,Throat Infection,Propranolol,No,"As directed, sip slowly"
441,Ciprofloxacin,200mg,Hypertension,Human Mixtard,No,1 tablet before meals
442,Vitamin C,50mg,Throat Infection,Clarithromycin,No,1 tablet daily for 3 days
443,Pantoprazole,600mg,Asthma,Human Mixtard,Yes,1 tablet daily for 3 days
444,Vitamin C,200ml,"Allergy, Cold",Propranolol,No,As prescribed by doctor
445,Losartan,100mg,Heart Disease,Levocetirizine,Yes,1 tablet after meals
446,Omeprazole,150mg,Diabetes,Dolo,Yes,1 tablet after meals
447,Insulin,400mg,Asthma,Zincovit,No,1 tablet daily
448,Amoxicillin,50mg,Heart Disease,Electral Powder,No,As prescribed by doctor
449,Levothyroxine,400mg,Diabetes,Levocetirizine,No,1 tablet every 6 hrs
450,Atorvastatin,50mg,Diabetes,Electral Powder,No,1 tablet before meals
451,Pantoprazole,100mg,Heart Disease,Zincovit,No,1 tablet daily for 3 days
452,Atorvastatin,150mg,Cholesterol Control,Propranolol,Yes,1 tablet at night
453,Azithromycin,100mg,Stomach Ulcer,Human Mixtard,Yes,As prescribed by doctor
454,Cetirizine,10mg,Heart Disease,Amlodipine,No,As prescribed by doctor
455,Levothyroxine,200ml,Stomach Ulcer,Clarithromycin,Yes,"As directed, sip slowly"
456,Losartan,400mg,Heart Disease,Glimepiride,No,"As directed, sip slowly"
457,Metformin,10mg,Heart Disease,Glimepiride,No,1 tablet before meals
458,ORS Solution,250mg,Throat Infection,Zincovit,Yes,1 tablet daily
459,Aspirin,10ml,Cholesterol Control,Levocetirizine,No,As prescribed by doctor
460,Pantoprazole,50mg,"Fever, Headache",Zincovit,Yes,"As directed, sip slowly"
461,Levothyroxine,10mg,Diabetes,Crocin,No,1 tablet before meals
462,Ranitidine,50mg,"Allergy, Cold",Erythromycin,Yes,1 tablet daily for 3 days
463,Ranitidine,20ml,Bacterial Infection,Dolo,No,1 tablet daily for 3 days
464,Paracetamol,250mg,Acidity,Amlodipine,Yes,"As directed, sip slowly"
465,ORS Solution,200ml,Heart Disease,Amlodipine,No,1 tablet before meals
466,Salbutamol,100mg,Bacterial Infection,Clarithromycin,Yes,1 tablet every 6 hrs
467,Azithromycin,100mg,Asthma,Famotidine,No,1 tablet daily
468,Amoxicillin,500mg,Diabetes,Augmentin,No,1 tablet before meals
469,Aspirin,200ml,Cholesterol Control,Glimepiride,Yes,1 tablet daily for 3 days
470,Paracetamol,20ml,"Allergy, Cold",Zincovit,Yes,1 capsule every 8 hrs
471,Atorvastatin,100mg,Thyroid Disorder,Diclofenac,Yes,1 tablet daily for 3 days
472,Metformin,20ml,Thyroid Disorder,Diclofenac,No,1 tablet at night
473,Azithromycin,200ml,"Pain, Inflammation",Loratadine,No,1 tablet after meals
474,Ciprofloxacin,10mg,Dehydration,Zincovit,Yes,1 tablet daily for 3 days
475,Azithromycin,10ml,"Fever, Headache",Clarithromycin,No,1 tablet before meals
476,Levothyroxine,600mg,Diabetes,Levocetirizine,No,1 tablet before meals
477,Omeprazole,500mg,Bacterial Infection,Levocetirizine,No,1 tablet at night
478,Aspirin,250mg,Hypertension,Erythromycin,No,1 tablet after meals
479,Paracetamol,500mg,Bacterial Infection,Electral Powder,No,1 capsule every 8 hrs
480,Clopidogrel,400mg,Hypertension,Glimepiride,Yes,1 tablet daily for 3 days
481,Pantoprazole,200ml,Dehydration,Human Mixtard,Yes,1 tablet before meals
482,Ranitidine,250mg,Stomach Ulcer,Erythromycin,Yes,As prescribed by doctor
483,Metformin,20ml,Immunity Boost,Clarithromycin,Yes,1 capsule every 8 hrs
484,Metformin,500mg,"Allergy, Cold",Human Mixtard,Yes,1 tablet daily for 3 days
485,Ciprofloxacin,600mg,Immunity Boost,Zincovit,Yes,1 tablet every 6 hrs
486,ORS Solution,500mg,Hypertension,Electral Powder,Yes,1 tablet at night
487,Ranitidine,200ml,"Fever, Headache",Augmentin,Yes,1 tablet daily
488,Ranitidine,400mg,Bacterial Infection,Propranolol,Yes,As prescribed by doctor
489,Aspirin,500mg,Cholesterol Control,Clarithromycin,No,1 tablet after meals
490,Vitamin C,200mg,Dehydration,Electral Powder,Yes,1 capsule every 8 hrs
491,Metoprolol,600mg,Immunity Boost,Zincovit,Yes,1 capsule every 8 hrs
492,Paracetamol,600mg,"Pain, Inflammation",Erythromycin,No,"As directed, sip slowly"
493,Azithromycin,100mg,Cholesterol Control,Propranolol,Yes,1 tablet every 6 hrs
494,Atorvastatin,250mg,"Pain, Inflammation",Human Mixtard,Yes,1 tablet every 6 hrs
495,ORS Solution,100mg,Throat Infection,Levocetirizine,No,"As directed, sip slowly"
496,Ciprofloxacin,400mg,Dehydration,Levocetirizine,No,1 tablet daily for 3 days
497,Metformin,10ml,Asthma,Loratadine,Yes,1 tablet before meals
498,Salbutamol,400mg,Asthma,Zincovit,No,1 tablet before meals
499,Amoxicillin,100mg,Cholesterol Control,Electral Powder,Yes,1 capsule every 8 hrs
500,Ranitidine,10mg,Dehydration,Diclofenac,Yes,1 tablet every 6 hrs
